NOMBRE_PROYECTO,FORMA_PRESENTACION,ESTADO_EVALUACION,REGION,COMUNAS,FECHA_PRESENTACION,FECHA_CALIFICACION,FECHA_MODIFICACION,ID_EXPEDIENTE,INVERSION_US,LETRA_TIPOLOGIA,NOMBRE_TIPOLOGIA,TITULAR,lat,lng
EXTRACCIÓN SUSTENTABLE DE ARENAS PARA HORMIGONES,DIA,No Admitido a Tramitación,RM,Maipú,27 abr 2006,9 May. 2006,22 Ago. 2017,1418687,$230.00,i,i-Extracción de pozos o canteras,Humberto Collado Ramírez,-70.813159,-33.523235
Deposito y Terminal de Vehiculos-El Bosque,DIA,Desistido,RM,Maipú,2 May. 2006,24 jun 2008,10 jul 2017,1421637,$961.54,e,e-Terminales de buses,Comercial Nuevo Milenio S.A.,-70.791706,-33.544857
Extracción Sustentable de Áridos para Hormigones,DIA,Rechazado,RM,Maipú,11 May. 2006,10 nov 2006,22 Ago. 2017,1440063,$230.00,i,i-Extracción de pozos o canteras,Liq-Maq Rental ltda.,-70.824502,-33.51097
Modificación de Tecnología Planta de Tratamiento de Lixiviados del Relleno Sanitario Santiago Poniente 057,DIA,Aprobado,RM,Maipú,16 May. 2006,18 ene 2007,29 ene 2014,1447476,$800.00,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.872035,-33.522918
BODEGA ACOPIO RESIDUOS PELIGROSOS,DIA,No Admitido a Tramitación,RM,Maipú,20 jul 2006,28 jul 2006,20 jul 2017,1568480,$17.50,t,t-Ingreso voluntario,TEXACO CHILE S.A.C TEXACO CHEVRON,-70.730416,-33.514581
Conjunto Habitacional Los Llanos de Maipu 1º Etapa,DIA,Aprobado,RM,Maipú,2 Ago. 2006,27 Ago. 2007,30 dic 2013,1602855,$9.272.000,g,"g-Conjuntos habitacionales con una cantidad igual o superior a ochenta (80) viviendas o, tratándose de vivienda social, vivienda progresiva o infraestructura sanitaria, a ciento sesenta (160) viviendas",Inmobiliaria Cono Sur Ltda.,-70.76134,-33.551416
CONSTRUCCIÓN DE PIQUE Y GALERÍAS PLAZA MAIPÚ,DIA,Aprobado,RM,Maipú,7 Ago. 2006,22 abr 2007,30 dic 2013,1603980,$1.850.055,e,e-Vías férreas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.757113,-33.510219
CONSTRUCCIÓN DE PIQUES Y GALERÍAS TRAMO RAFAEL RIESCO LUIS GANDARILLAS.,DIA,Aprobado,RM,Maipú,13 Ago. 2006,2 May. 2007,30 dic 2013,1624426,$3.700.110,e,e-Vías férreas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.756974,-33.503063
Ampliación Centro Comercial Camino Melipilla,DIA,No Admitido a Tramitación,RM,Maipú,13 Ago. 2006,25 Ago. 2006,10 jul 2017,1625527,$43.000.000,h,h-Proyectos inmobiliarios,Cencosud Shopping Centers S.A.,-70.736055,-33.515884
MODIFICACIÓN PLAN REGULADOR COMUNAL DE MAIPÚ MPRCM-1 CAMBIO DE USO DE SUELO SECTOR ALMENDRAL Modificación PRC de Maipú MPRCM-1,DIA,Aprobado,RM,Maipú,21 Ago. 2006,17 dic 2006,30 dic 2013,1638706,$null,h,h-Planes reguladores comunales,Ilustre Municipalidad de Maipú,-70.775456,-33.509091
Ampliación Centro Comercial Camino Melipilla Exp. Nº099/06,DIA,Desistido,RM,Maipú,3 sep 2006,21 dic 2006,18 jul 2017,1661953,$43.000.000,h,h-Proyectos inmobiliarios,Cencosud Shopping Centers S.A.,-70.737061,-33.516253
Bodega de Acopio de Residuos Peligrosos,DIA,Aprobado,RM,Maipú,14 sep 2006,10 ene 2008,31 dic 2013,1688099,$17.50,t,t-Ingreso voluntario,TEXACO CHILE S.A.C.,-70.730416,-33.514581
Declaración de Impato Ambiental proyecto,DIA,No Admitido a Tramitación,RM,Maipú,23 oct 2006,7 nov 2006,23 Ago. 2017,1761311,$75.90,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Till Heinichen Heinichen,-70.766709,-33.534782
Sistema de lavado de envases planta industrial Clariant Chile,DIA,No Admitido a Tramitación,RM,Maipú,27 nov 2006,14 dic 2006,17 Ago. 2017,1794601,$76.35,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Till Heinichen Heinichen,-70.766533,-33.534045
Las Casas de Maipú Exp. Nº150,DIA,Aprobado,RM,Maipú,26 nov 2006,23 jul 2007,10 Ago. 2017,1829666,$10.000.000,g,"g-Conjuntos habitacionales con una cantidad igual o superior a ochenta (80) viviendas o, tratándose de vivienda social, vivienda progresiva o infraestructura sanitaria, a ciento sesenta (160) viviendas",Inmobiliaria y Constructora ALHUNE Ltda.,-70.781081,-33.544559
"Construcción Nuevo Estanque para Kerosene Doméstico, Planta Maipú",DIA,Aprobado,RM,Maipú,5 dic 2006,28 ene 2008,13 dic 2013,1853520,$750.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",ENAP REFINERIAS S.A,-70.757738,-33.541646
"Refuerzo Línea de Transmisión 110 kV Chena - Cerro Navia, S/E Maipú - Tap S/E Pajaritos 001/2006.",DIA,Aprobado,RM,Cerrillos-Maipú,26 dic 2006,11 sep 2007,13 dic 2013,1890586,$1.871.393,b,b-Líneas de transmisión eléctrica de alto voltaje,ENEL DISTRIBUCIÓN S.A.,-70.730876,-33.515512
Captura y Quema de Biogás del Relleno Sanitario Santiago Poniente,DIA,Aprobado,RM,Maipú,7 ene 2007,18 May. 2008,22 Ago. 2017,1893824,$null,o,"o-Plantas de tratamiento y/o disposición de residuos sólidos de origen domiciliario, rellenos sanitarios y estaciones de transferencia que atiendan a una población igual o mayor a 5000 habitantes",Veolia SU Chile S.A.,-70.869189,-33.527741
Sistema de Lavado de Envases Planta Industrial Clariant Chile,DIA,No Admitido a Tramitación,RM,Maipú,11 Mar. 2007,26 Mar. 2007,23 Ago. 2017,1933193,$74.50,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Clariant Colorquímica (Chile) Limitada,-70.766501,-33.534082
Sistema de lavado de envases Planta Industrial Clariant Chile,DIA,No Admitido a Tramitación,RM,Maipú,23 ene 2007,6 Feb. 2007,23 Ago. 2017,1938317,$74.07,o,o-Sistemas de tratamiento y/o disposición de residuos industriales sólidos,Color Química Clariant (Chile) Limitada,-70.766501,-33.534082
"Proyecto Metro Maipú, Construcción de Piques y Galerías Teniente Cruz, Estadio Municipal Pudahuel, Bonilla y Zanjón de la Aguada",DIA,Aprobado,RM,Maipú-Pudahuel,30 ene 2007,29 nov 2007,11 dic 2013,1967490,$7.617.396,e,e-Vías férreas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.753169,-33.489741
"Proyecto Metro Maipú, Construcción Viaducto de Estaciones e Interestaciones Tramo Laguna Sur-Paradero 12.",DIA,Aprobado,RM,Maipú-Pudahuel,11 Mar. 2007,26 Feb. 2008,27 nov 2013,1973806,$36.800.000,e,e-Vías férreas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.737812,-33.46284
DECLARACION DE IMPACTO AMBIENTAL PROYECTO SITIO BUSTOS.,DIA,No Admitido a Tramitación,RM,Maipú,15 May. 2007,29 May. 2007,9 Ago. 2017,2148921,$5.000.000,h,h-Proyectos industriales,JUAN PABLO CORTES BAIRD,-70.72615,-33.517266
"PROYECTO METRO MAIPÚ, CONSTRUCCIÓN ESTACIONES E INTERESTACIONES TRAMO RAFAEL RIESCO- PLAZA MAIPÚ",DIA,Aprobado,RM,Maipú,23 May. 2007,26 Feb. 2008,29 nov 2013,2156398,$36.800.000,e,e-Vías férreas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S.A.,-70.755371,-33.51083
Sistema de Tratamiento de RILes - PTA Lonquén,DIA,No Admitido a Tramitación,RM,Maipú,25 jun 2007,9 jul 2007,22 Ago. 2017,2202697,$53.45,o,"o-Sistemas de tratamiento y/o disposición de residuos industriales líquidos, que contemplen dentro de sus instalaciones lagunas de estabilización u otros depositos de los efluentes sin tratar y tratados",VETERQUIMICA LTDA.,-70.730484,-33.525031
Cantera de Pumicita - Fundo La Ovejería,DIA,Desistido,RM,Maipú,6 sep 2007,25 nov 2007,25 sep 2017,2372540,$215.00,i,i-Extracción de pozos o canteras,Arirsa Chile Limitada,-70.837719,-33.532461
Almacenamiento Temporal de Residuos Peligrosos,DIA,Aprobado,RM,Maipú,6 nov 2007,19 Feb. 2009,29 oct 2013,2485241,$1.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias tóxicas, (sustancias señaladas en la Clase 6,1 de la NCh. 382, Of. 89)",Bravo Energy Chile S.A.,-70.750813,-33.532537
100% Saneamiento de la Cuenca de Santiago,EIA,Aprobado,RM,Maipú-Padre Hurtado,29 nov 2007,1 abr 2009,18 dic 2012,2577800,$420.000.000,o,o-Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2500 habitantes,Aguas Andinas S.A.,-70.82875,-33.538634
Ampliación de Actividades Centro de Distribución Maipú,DIA,Aprobado,RM,Maipú,20 ene 2008,2 abr 2009,28 oct 2013,2650802,$4.181.650,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres, de sustancias corrosivas o reactivas, que se realicen con una periodicidad mensual o mayor, en una cantidad igual o superior a 120000 Kg/día","EMASA, EQUIPOS Y MAQUINARIAS S.A.",-70.751729,-33.521874
Transporte de Propano en Situaciones de Emergencia desde Maipú a Peñalolén,DIA,Aprobado,RM,Cerrillos-La Cisterna-La Florida-La Granja-La Reina-Lo Espejo-Macul-Maipú-Ñuñoa-Peñalolén-San Ramón,27 ene 2008,26 Ago. 2008,2 oct 2013,2672558,$300.00,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o transporte por medios terrestres de sustancias inflamables, (sustancias señaladas en las clases 3 y 4 de la NCh. 2120/Of. 89)",gasmar s.a.,-70.776493,-33.529295
PARQUES DE MAIPÚ,DIA,No Admitido a Tramitación,RM,Maipú,6 Mar. 2008,10 Mar. 2008,15 sep 2017,2764382,$63.000.000,h,h-Proyectos inmobiliarios,ADMINISTRADORA SAN FRANCISCO S.A.,-70.757081,-33.477213
PARQUES DE MAIPÚ,DIA,Aprobado,RM,Maipú,13 Mar. 2008,26 ene 2009,26 sep 2013,2781026,$63.000.000,h,h-Proyectos inmobiliarios,ADMINISTRADORA SAN FRANCISCO S.A.,-70.757507,-33.476991
Aumento de Capacidad Planta Neumáticos,DIA,Aprobado,RM,Maipú,16 abr 2008,3 jun 2009,26 sep 2013,2847449,$420.000.000,h,h-Proyectos industriales,Goodyear de Chile S.A.I.C,-70.760804,-33.530303
TRANSPORTE DE EXPLOSIVOS Y CARGAS PELIGROSAS,DIA,No Admitido a Tramitación,Interregional,Vicuña-Alto Hospicio-Andacollo-Antofagasta-Arica-Cabildo-Calama-Canela-Casablanca-Castro-Chaitén-Chañaral-Chile Chico-Coyhaique-Copiapó-Coquimbo-Dalcahue-Diego de Almagro-Illapel-Iquique-La Higuera-La Ligua-La Serena-Lampa-Llanquihue-Los Andes-Los Vilos-Machalí-Maipú-María Elena-Mejillones-Ovalle-Pozo Almonte-Pudahuel-Puerto Montt-Quilicura-Rancagua-Río Hurtado-Salamanca-San Antonio-San Fernando-San Pedro de Atacama-Taltal-Tierra Amarilla-Tocopilla-Vallenar-Valparaíso,29 jun 2008,13 jul 2008,2 ene 2014,3004520,$null,ñ,"ñ-Producción, almacenamiento, disposición o reutilización o trasporte por medios terrestres de sustancias explosivas, (sustancias señaladas en la Clase 1.1 de la NCh. 382, Of. 89)",TRANSORTE DE CARGAS POR CARRETERA,-70.780819,-33.427158
