NOMBRE_PROYECTO,FORMA_PRESENTACION,ESTADO_EVALUACION,REGION,COMUNAS,FECHA_PRESENTACION,FECHA_CALIFICACION,FECHA_MODIFICACION,ID_EXPEDIENTE,INVERSION_US,LETRA_TIPOLOGIA,NOMBRE_TIPOLOGIA,TITULAR,lat,lng
Curtiembre Agrícola Riñihue,DIA,Aprobado,RM,Maipú,20 Mar. 2014,20 ene 2015,20 oct 2016,2129291965,$7.800.000,null,null,AGRICOLA RIÑIHUE S.A,-70.747764,-33.529317
Nueva Línea 1x220 kV Alto Melipilla - Rapel y Nueva Línea 2x220 kV Lo Aguirre – Alto Melipilla con un circuito tendido,EIA,No calificado,Interregional,Curacaví-Las Cabras-Litueche-Maipú-Melipilla-Padre Hurtado-Pudahuel-San Pedro,4 sep 2014,4 nov 2014,23 nov 2016,2129753064,$77.000.000,null,null,ELETRANS II S.A.,-70.898318,-33.440646
Pre-Tratamiento para la Revalorización Energética de Residuos,DIA,No Admitido a Tramitación,RM,Maipú,21 sep 2014,22 sep 2014,20 oct 2016,2129780034,$850.00,null,null,Bravo Energy Chile S.A.,-70.751104,-33.53256
Pre-Tratamiento para la Revalorización Energética de Residuos,DIA,Desistido,RM,Maipú,30 sep 2014,15 oct 2014,20 oct 2016,2129854114,$850.00,null,null,Bravo Energy Chile S.A.,-70.751061,-33.532631
Pre-tratamiento para la Revalorización Energética de Residuos,DIA,Desistido,RM,Maipú,20 oct 2014,13 sep 2015,20 oct 2016,2129892385,$850.00,null,null,Bravo Energy Chile S.A.,-70.751148,-33.5324
EL DESCANSO,DIA,Desistido,RM,Maipú,17 nov 2014,27 nov 2014,22 ene 2018,2129982927,$31.343.000,null,null,Inmobiliaria El Descanso S.A.,-70.755366,-33.469895
DECLARACIÓN DE IMPACTO AMBIENTAL LÍNEA DE FABRICACIÓN DE DIÓXIDO DE AZUFRE Y BISULFITO DE SODIO,DIA,Desistido,RM,Maipú,27 nov 2014,4 dic 2014,22 ene 2018,2130015224,$5.000.000,null,null,Juan Francisco Ruiz Morandé,-70.738305,-33.531205
NORMALIZACION PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS DEPOSITO Y TERMINAL DE VEHÍCULOS MAIPÚ TRONCAL 1”,DIA,No Admitido a Tramitación,RM,Maipú,19 ene 2015,20 ene 2015,22 ene 2018,2130053899,$95.00,null,null,Inversiones Alsacia S.A.,-70.802562,-33.514706
Almacenamiento de Sustancias Peligrosas,DIA,Desistido,RM,Maipú,27 May. 2015,4 jun 2015,30 ene 2018,2130508614,$9.520.000,null,null,Javier Canala-Echavarría Leon de la Barra,-70.764335,-33.534801
Normalización Planta de tratamiento de Aguas Servidas Depósito y Terminal de Vehículos Maipú Troncal1,DIA,No Admitido a Tramitación,RM,Maipú,19 jul 2015,20 jul 2015,31 ene 2018,2130578115,$95.00,null,null,Inversiones Alsacia S.A.,-70.802996,-33.514474
Pre-tratamiento para la Revalorización Energética de Residuos,DIA,Desistido,RM,Maipú,13 sep 2015,16 sep 2015,20 oct 2016,2130782422,$850.00,null,null,Bravo Energy Chile S.A.,-70.751089,-33.532673
Pre-tratamiento para la Revalorización Energética de Residuos,DIA,No Admitido a Tramitación,RM,Maipú,20 sep 2015,21 sep 2015,20 oct 2016,2130788207,$850.00,null,null,Bravo Energy Chile S.A.,-70.751092,-33.532639
Pre-tratamiento para la revalorización energética de Residuos,DIA,Desistido,RM,Maipú,28 sep 2015,12 oct 2015,20 oct 2016,2130813668,$850.00,null,null,Bravo Energy Chile S.A.,-70.751089,-33.532673
Pre-Tratamiento para la Revalorización Energética de Residuos,DIA,Aprobado,RM,Maipú,18 oct 2015,10 Feb. 2016,20 oct 2016,2130834103,$850.00,null,null,Bravo Energy Chile S.A.,-70.751089,-33.532673
Bodegas Santa Marta - Maipú,DIA,No Admitido a Tramitación,RM,Maipú,4 jul 2016,5 jul 2016,30 ene 2018,2131474382,$6.500.000,null,null,Inmobiliaria Santa Cristina S.A.,-70.752246,-33.533635
Línea de fabricación de Policloruro de Aluminio,DIA,Aprobado,RM,Maipú,7 jul 2016,2 ene 2018,30 ene 2018,2131548812,$6.000.000,null,null,Quimetal Industrial S.A,-70.738686,-33.532696
